trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.1, 'e': 0.8771602801771051}",25,2,-102.9766077454785,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 1}",1
132,False,"{'a': 0.1, 'e': 0.8762831198969281}",25,0,-79.07471830940126,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
133,False,"{'a': 0.1, 'e': 0.8754068367770311}",20,0,-184.5710272435272,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
134,False,"{'a': 0.1, 'e': 0.8745314299402541}",25,0,-40.192409690199064,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
135,False,"{'a': 0.1, 'e': 0.8736568985103138}",20,0,-66.71820243166854,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
136,False,"{'a': 0.1, 'e': 0.8727832416118035}",20,0,-16.00558228181733,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
137,False,"{'a': 0.1, 'e': 0.8719104583701917}",25,0,-76.93876343543926,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
138,False,"{'a': 0.1, 'e': 0.8710385479118216}",20,6,-44.17655545280499,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 0}",1
139,False,"{'a': 0.1, 'e': 0.8701675093639096}",20,0,-79.1253226620529,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
140,False,"{'a': 0.1, 'e': 0.8692973418545458}",20,0,-149.93703496474294,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
141,False,"{'a': 0.1, 'e': 0.8684280445126912}",30,8,-118.65332754372555,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 1}",1
142,False,"{'a': 0.1, 'e': 0.8675596164681786}",20,4,-40.822963915757114,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
143,False,"{'a': 0.1, 'e': 0.8666920568517104}",35,17,-81.1321169863835,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
144,False,"{'a': 0.1, 'e': 0.8658253647948586}",25,0,-97.82413260327263,"{0: 13, 1: 0, 2: 12, 3: 0, 4: 0}",0
145,False,"{'a': 0.1, 'e': 0.8649595394300638}",20,10,-32.906610691270366,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
146,False,"{'a': 0.1, 'e': 0.8640945798906338}",25,0,-117.76125145752086,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
147,False,"{'a': 0.1, 'e': 0.8632304853107431}",25,8,-64.05705679754901,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 0}",1
148,False,"{'a': 0.1, 'e': 0.8623672548254323}",25,0,-53.490130975169635,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
149,False,"{'a': 0.1, 'e': 0.861504887570607}",20,0,-82.19167631616972,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
150,False,"{'a': 0.1, 'e': 0.8606433826830363}",20,10,-20.424657513681137,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
151,False,"{'a': 0.1, 'e': 0.8597827393003533}",25,0,-223.88908298191487,"{0: 12, 1: 2, 2: 5, 3: 3, 4: 3}",0
152,False,"{'a': 0.1, 'e': 0.8589229565610529}",20,0,-39.70194235043377,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
153,False,"{'a': 0.1, 'e': 0.8580640336044919}",25,0,-110.17209783953786,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
154,False,"{'a': 0.1, 'e': 0.8572059695708873}",35,0,-191.3718534035392,"{0: 22, 1: 0, 2: 9, 3: 2, 4: 2}",0
155,False,"{'a': 0.1, 'e': 0.8563487636013165}",30,0,-97.44162004129153,"{0: 19, 1: 5, 2: 3, 3: 3, 4: 0}",0
156,False,"{'a': 0.1, 'e': 0.8554924148377152}",20,0,-40.24002055528758,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
157,False,"{'a': 0.1, 'e': 0.8546369224228775}",20,0,-60.66196117477975,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
158,False,"{'a': 0.1, 'e': 0.8537822855004545}",20,10,-65.64791997133972,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
159,False,"{'a': 0.1, 'e': 0.8529285032149541}",20,0,9.287534262531675,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
160,False,"{'a': 0.1, 'e': 0.8520755747117391}",25,8,-49.37622121417857,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
161,False,"{'a': 0.1, 'e': 0.8512234991370274}",30,0,-85.00044291901708,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
162,False,"{'a': 0.1, 'e': 0.8503722756378904}",25,0,-124.67817418754035,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
163,False,"{'a': 0.1, 'e': 0.8495219033622525}",25,0,-151.69383760012545,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
164,False,"{'a': 0.1, 'e': 0.8486723814588902}",20,0,-129.29974144062558,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
165,False,"{'a': 0.1, 'e': 0.8478237090774313}",30,0,-82.0799516311166,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
